Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
68,Pierre-Louis LOUBET  Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,,+,17
69,Frédéric ROSATI  Philippe MARCHETTO,Hyundai i20 N,44,,+,17
70,Sean JOHNSTON  Alexander KIHURANI,Citroen C3,29,,+,17
71,Eamonn BOLAND  MJ,Citroen C3,42,,+,17
1,Kalle ROVANPERÄ  Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:00.5,+00:00:00,18
2,Ott TÄNAK  Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:01.1,+00:00:00.5,18
3,Elfyn EVANS  Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:10:01.2,+00:00:00.6,18
4,Thierry NEUVILLE  Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:04.7,+00:00:04.2,18
5,Sébastien OGIER  Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:10:05.2,+00:00:04.7,18
6,Esapekka LAPPI  Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:11.2,+00:00:10.7,18
7,Daniel SORDO  Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:14.1,+00:00:13.6,18
8,Oliver SOLBERG  Elliott EDMONDSON,Skoda Fabia RS,23,00:10:27.3,+00:00:26.8,18
9,Yohan ROSSEL  Arnaud DUNAND,Citroen C3,21,00:10:28.5,+00:00:28.0,18
10,Nikolay GRYAZIN  Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:34.1,+00:00:33.6,18
11,Stéphane LEFEBVRE  Andy MALFOY,Citroen C3,22,00:10:38.0,+00:00:37.4,18
12,Adrien FOURMAUX  Alexandre CORIA,Ford Fiesta MkII,20,00:10:38.4,+00:00:37.8,18
13,Erik CAIS  Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:41.3,+00:00:40.8,18
14,Pepe LÓPEZ  Borja ROZADA,Hyundai i20 N,34,00:10:43.2,+00:00:42.7,18
15,Christopher INGRAM  Craig DREW,Skoda Fabia Evo,28,00:10:44.3,+00:00:43.8,18
16,Joshua MCERLEAN  John ROWAN,Hyundai i20 N,31,00:10:44.5,+00:00:44.0,18
17,Alejandro CACHÓN  Alejandro LÓPEZ,Citroen C3,35,00:10:45.8,+00:00:45.2,18
18,Marco BULACIA  Axel CORONADO,Skoda Fabia RS,26,00:10:46.5,+00:00:45.9,18
19,Grégoire MUNSTER  Louis LOUKA,Ford Fiesta MkII,25,00:10:50.3,+00:00:49.7,18
20,François DELECOUR  Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:53.8,+00:00:53.3,18
21,Jourdan SERDERIDIS  Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:56.1,+00:00:55.6,18
22,Takamoto KATSUTA  Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:58.7,+00:00:58.1,18
23,Matteo GAMBA  Nicolò GONELLA,Skoda Fabia Evo,52,00:10:59.3,+00:00:58.8,18
24,Mauro MIELE  Luca BELTRAME,Skoda Fabia RS,36,00:11:05.2,+00:01:04.7,18
25,Christian MERLI  Marco ZORTEA,Skoda Fabia Evo,49,00:11:05.9,+00:01:05.4,18
26,Daniel ALONSO  Adrián PÉREZ,Citroen C3,41,00:11:09.8,+00:01:09.2,18
27,Bruno RIBERI  Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:14.9,+00:01:14.4,18
28,Olivier BURRI  Anderson LEVRATTI,Hyundai i20 N,38,00:11:20.0,+00:01:19.4,18
29,Johannes KEFERBÖCK  Ilka MINOR,Skoda Fabia Evo,39,00:11:28.2,+00:01:27.6,18
30,David FERRARO  Michel CORNEGLIO,Alpine A110,66,00:11:30.1,+00:01:29.6,18
31,Luc PISTACHI  Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:31.4,+00:01:30.9,18
32,Simone NIBOLI  Battista BRUNETTI,Skoda Fabia Evo,46,00:11:33.2,+00:01:32.7,18
33,Silvano PATERA  Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:34.3,+00:01:33.8,18
34,Loïc PANAGIOTIS  Caroline GODDI,Alpine A110,67,00:11:34.6,+00:01:34.0,18
35,Eric ROYERE  Gilbert DINI,Alpine A110,64,00:11:35.9,+00:01:35.3,18
36,Lorenzo BONTEMPELLI  Giovanni PINA,Skoda Fabia Evo,40,00:11:36.5,+00:01:35.9,18
37,Philippe BAFFOUN  Charlyne QUARTINI,Citroen C3,54,00:11:39.5,+00:01:39.0,18
38,Baudouin BAUGÉ  Nicolas BLANC,Peugeot 208 Rally4,71,00:11:40.0,+00:01:39.5,18
39,Fabrizio ARENGI  Massimiliano BOSI,Skoda Fabia Evo,48,00:11:40.5,+00:01:39.9,18
40,Romain HAUT-LABOURDETTE  Fabien TARDITO,Skoda Fabia,58,00:11:42.8,+00:01:42.3,18
41,Mickaël PRÉVALET  Jofrey COURTET,Peugeot 208 Rally4,76,00:11:43.3,+00:01:42.7,18
42,Zoltán LÁSZLÓ  Gábor ZSIROS,Skoda Fabia Evo,61,00:11:47.5,+00:01:47.0,18
43,Yanis DESANGLES  Nicolas THERON,Skoda Fabia,55,00:11:52.9,+00:01:52.4,18
44,Ghjuvanni ROSSI  Maxime MARTINI,Peugeot 208 Rally4,78,00:11:56.4,+00:01:55.9,18
45,Wolfgang IRLACHER  Elke IRLACHER,Peugeot 208 Rally4,68,00:11:57.9,+00:01:57.4,18
46,Matteo FONTANA  Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:59.2,+00:01:58.6,18
47,Jean Charles ALBERTINI  Patrick CHIAPPE,Skoda Fabia Evo,56,00:12:02.6,+00:02:02.1,18
48,Filippo MARCHINO  Pietro Elia OMETTO,Skoda Fabia,47,00:12:09.6,+00:02:09.0,18
49,Massimiliano PEDALÀ  Denis PICENO,Opel Corsa Rally4,73,00:12:09.6,+00:02:09.1,18
50,Sebastiano CIATO  Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:13.1,+00:02:12.6,18
51,Grégory FONTALBA  Stéphan HERMET,Alpine A110,65,00:12:15.3,+00:02:14.7,18
52,Nicolas RESSEGAIRE  Marina MICHELI,Renault Clio RS Line,84,00:12:16.0,+00:02:15.5,18
53,Jérémy PRAT  Yves SEMETE,Renault Clio RS Line,82,00:12:20.5,+00:02:19.9,18
54,Giorgio MARAZZATO  Elisa SOMMARIVA,Peugeot 208,77,00:12:34.4,+00:02:33.8,18
55,Gilles MICHELLIER  Christophe RICHARD,Peugeot 208 Rally4,79,00:12:37.7,+00:02:37.2,18
56,Jérôme AYMARD  Sandrine AYMARD,Renault Clio RS,80,00:12:38.4,+00:02:37.9,18
57,Grégory DAL ZOTTO  Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:40.1,+00:02:39.6,18
58,Julien CHARNAY  Maxime GOMEZ,Renault Clio RS Line,87,00:12:43.6,+00:02:43.1,18
59,Lilian VIALLE  Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:51.9,+00:02:51.3,18
60,Henk VOSSEN  Annemieke HULZEBOS,Ford Fiesta,50,00:13:04.7,+00:03:04.1,18
61,Christophe BERARD  Christophe BERNABO,Renault Clio RS Line,85,00:13:26.2,+00:03:25.7,18
62,William CREIGHTON  Liam REGAN,Hyundai i20 N,32,00:13:40.0,+00:03:39.5,18
63,Jean-Paul PALMERO  Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:55.7,+00:03:55.2,18
64,Marc DESSI  Pamela DESSI,Renault Clio RS Line,86,00:14:17.4,+00:04:16.9,18
65,Jérémie MALLARD  Alexis MAREST-CECCALDI,Ford Fiesta,72,00:14:53.0,+00:04:52.4,18
66,Alessandro GINO  Daniele MICHI,Citroen C3,53,00:14:57.3,+00:04:56.8,18
67,Pierre TANCI  Sébastien MALET,Skoda Fabia,60,00:15:44.5,+00:05:44.0,18
68,Pierre-Louis LOUBET  Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,,+,18
69,Sean JOHNSTON  Alexander KIHURANI,Citroen C3,29,,+,18
70,Frédéric ROSATI  Philippe MARCHETTO,Hyundai i20 N,44,,+,18
71,Eamonn BOLAND  MJ,Citroen C3,42,,+,18
